login_button_text,Anmelden
save_login,Angemeldet bleiben
login_endpoint_url,Server URL
login_endpoint_hint,http://dein-server:port
login_err_trailing_whitespace,Abschließendes Leerzeichen
login_err_leading_whitespace,Führendes Leerzeichen
login_err_invalid_email,Ungültige Email-Adresse
login_err_http,Muss mit http:// oder https:// starten
login_label_email,Email-Adresse
login_email_hint,deine@email.com
login_label_password,Passwort
login_password_hint,passwort
share_add_title,Titel hinzufügen
share_err_delete,Fehler beim Löschen des Albums
share_err_leave,Fehler beim Verlassen des Albums
share_err_remove,Einträge konnten nicht aus dem Album gelöscht werden
share_err_title,Fehler beim Ändern des Titels
share_remove,Aus Album entfernen
share_delete,Album löschen
share_leave,Album verlassen
create_shared_album,Geteiltes Album erstellen
share_partner,Mit Partner teilen
share_add_photos,Fotos hinzufügen
share_add_users,Nutzer hinzufügen
share_add,Hinzufügen
share_add_assets,EINTRÄGE HINZUFÜGEN
share_select_photos,Fotos auswählen
share_create_album,Album erstellen
share_share,Teilen
share_suggestions,Vorschläge
share_invite,Zu Album einladen
share_err_album,Fehler beim Erstellen des Albums
share_empty_list,LEERE LISTE
share_description,Erstelle geteilte Alben um Fotos und Videos mit Menschen aus deinem Netzwerk zu teilen.
share_album,Geteilte Alben
